# Rime user dictionary
#@/db_name	bopomo_onion.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	231
#@/user_id	cceb415b-5f81-4c04-ac57-7d03c69a9c63
a1 	阿	c=0 d=0.26358 t=231
an1 zhuang1 	安裝	c=0 d=0.1 t=190
an1 zhuang1 ma2 fan2 si3 le5 	安裝麻煩死了	c=1 d=1 t=191
an1 zhuang1 wan2 	安裝完	c=1 d=0.71177 t=231
an4 jian4 	按鍵	c=1 d=0.727371 t=231
ba1 	八	c=1 d=0.514274 t=231
ba1 ma3 	八碼	c=2 d=1.13215 t=231
ba1 ma3 de5 	八碼的	c=1 d=0.524663 t=231
ba1 wei4 	八位	c=1 d=0.511709 t=231
ba2 	拔	c=0 d=0.1 t=196
ba3 	把	c=0 d=0.0790571 t=231
ba3 dang3 an4 sai1 dao4 	把檔案塞到	c=1 d=0.794534 t=231
ba5 	吧	c=1 d=1.12691 t=231
ban3 	版	c=0 d=0.0463013 t=231
ban4 tian1 	半天	c=0 d=0.099005 t=231
ban4 xiao3 shi2 	半小時	c=0 d=0.0970446 t=231
bian1 kuang1 	邊框	c=0 d=0.139802 t=231
biao3 	表	c=2 d=1.00328 t=231
bu2 guo4 	不過	c=1 d=0.650509 t=231
bu2 guo4 ye3 hao3 	不過也好	c=1 d=1 t=195
bu2 hui4 	不會	c=0 d=0.067032 t=231
bu2 jiu4 	不就	c=0 d=0.0937067 t=231
bu2 shi4 	不是	c=0 d=0.1 t=184
bu2 shi4 a1 	不是阿	c=1 d=1 t=185
bu2 yao4 	不要	c=0 d=0.0694197 t=231
bu2 yao4 xiang3 pian4 wo3 	不要想騙我	c=1 d=0.697676 t=231
bu2 yong4 	不用	c=0 d=0.0878095 t=231
bu4 	不	c=0 d=0.0640824 t=231
bu4 dong3 	不懂	c=0 d=0.0416862 t=231
bu4 dong3 ni3 yi4 si1 	不懂你意思	c=1 d=0.418952 t=231
bu4 hao3 	不好	c=0 d=0.0852144 t=231
bu4 ran2 	不然	c=0 d=0.0527292 t=231
bu4 ran2 jiu4 	不然就	c=0 d=0.0499074 t=231
bu4 ran2 jiu4 shi4 he2 yuan2 ze2 	不然就適合原則	c=1 d=0.501576 t=231
bu4 ran2 mei2 ban4 fa3 gai3 	不然沒辦法改	c=1 d=0.529935 t=231
bu4 shu3 	部署	c=0 d=0.0771052 t=231
bu4 tong2 	不同	c=0 d=0.045612 t=231
bu4 xu1 yao4 	不需要	c=0 d=0.0453845 t=231
bu4 zhi1 dao4 	不知道	c=0 d=0.1 t=215
bu4 zhi1 dao4 na3 li3 you3 wen4 ti2 	不知道哪裏有問題	c=1 d=1 t=216
bu4 zou4 	步驟	c=1 d=0.729789 t=231
cheng2 	程	c=1 d=0.404542 t=231
chi1 	吃	c=0 d=0.168325 t=231
chi1 guo4 	吃過	c=0 d=0.0847894 t=231
chi1 le5 	吃了	c=0 d=0.0818731 t=231
chong2 xin1 	重新	c=0 d=0.0771052 t=231
chong2 xin1 bu4 shu3 	重新部署	c=1 d=0.774916 t=231
chu4 fa1 	觸發	c=0 d=0.281283 t=231
chu4 fa1 fang1 shi4 jiu4 gen1 wu4 li3 wu2 guan1 	觸發方式就跟物理無關	c=1 d=0.647265 t=231
cong2 	從	c=0 d=0.0631284 t=231
cong2 shang4 tu2 ke3 yi3 kan4 dao4 	從上圖可以看到	c=1 d=0.634448 t=231
da3 	打	c=0 d=0.0846335 t=231
da3 shen2 me5 	打什麼	c=0 d=0.1 t=219
da3 zi4 	打字	c=0 d=0.0421052 t=231
da3 zi4 da3 qi3 lai2 	打字打起來	c=1 d=0.423162 t=231
da4 gai4 	大概	c=0 d=0.0970446 t=231
da4 gai4 ban4 xiao3 shi2 xia4 zai3 jia1 geng1 xin1 	大概半小時下載家更新	c=1 d=0.97531 t=231
dan1 yuan2 	單元	c=0 d=0.194649 t=210
dan1 yuan2 yi1 	單元一	c=1 d=1.056 t=209
dan1 yuan2 yi1 de5 mo2 shi4 	單元一的模式	c=1 d=1 t=210
dang3 an4 	檔案	c=1 d=0.869628 t=231
dao4 	到	c=1 d=0.755784 t=231
dao4 di3 	到底	c=0 d=0.0427415 t=231
dao4 di3 zen3 me5 xiang3 de5 	到底怎麼想得	c=1 d=0.429557 t=231
de5 	的	c=1 d=1.31909 t=231
de5 dang3 an4 	的檔案	c=1 d=1 t=194
de5 hua4 	的話	c=0 d=0.166678 t=231
deng3 deng3 	等等	c=0 d=0.0891366 t=231
dian3 	點	c=1 d=1 t=231
diao3 	屌	c=0 d=0.1 t=219
ding4 	定	c=0 d=0.1 t=227
ding4 wei4 	定位	c=0 d=0.0923116 t=231
ding4 wei4 	訂位	c=1 d=1 t=229
diu1 	丟	c=0 d=0.0937067 t=231
dong1 xi1 	東西	c=0 d=0.1 t=185
dong3 pi4 	懂屁	c=1 d=1 t=227
dong4 hua4 	動畫	c=0 d=0.0425283 t=231
dou1 	都	c=0 d=0.0425283 t=231
dou1 shi4 	都是	c=0 d=0.0491644 t=231
dui4 a1 	對阿	c=1 d=0.657047 t=231
dui4 ying4 	對應	c=0 d=0.0524663 t=231
duo1 duo1 	多多	c=0 d=0.0843665 t=231
duo1 kai1 	多開	c=0 d=0.1 t=192
ei4 	欸	c=1 d=0.798516 t=231
ei4 ei4 	欸欸	c=1 d=0.481909 t=231
er4 	二	c=1 d=1.09005 t=210
fang1 shi4 	方式	c=0 d=0.0644036 t=231
fen3 se4 	粉色	c=1 d=0.489192 t=231
gai3 	改	c=0 d=0.182715 t=231
gai3 bian4 	改變	c=0 d=0.045612 t=231
gai3 bian4 wu4 li3 xing2 cheng2 ye3 ke3 yi3 you3 bu4 tong2 de5 chu4 fa1 shi2 jian1 	改變物理行程也可以有不同的觸發時間	c=1 d=0.458406 t=231
gan1 	乾	c=1 d=0.806541 t=231
gan1 	甘	c=1 d=0.802519 t=231
gan4 ma2 	幹嘛	c=0 d=0.0927743 t=231
gang1 gang1 	剛剛	c=0 d=0.130951 t=231
gang1 gang1 zai4 	剛剛在	c=0 d=0.0440432 t=231
gao3 	搞	c=0 d=0.099005 t=231
gao3 le5 	搞了	c=0 d=0.156881 t=231
ge2 shi4 	格式	c=2 d=1.19554 t=231
gen1 wo3 	跟我	c=0 d=0.0869358 t=231
geng1 xin1 	更新	c=0 d=0.193605 t=231
geng1 xin1 man2 kuai4 de5 a1 	更新蠻快的阿	c=1 d=0.970446 t=231
gong1 ju4 	工具	c=1 d=0.479505 t=231
gong1 neng2 	功能	c=0 d=0.067368 t=231
gu3 tong2 	古銅	c=1 d=0.551563 t=231
guai4 	怪	c=0 d=0.0529935 t=231
guang1 xian4 	光線	c=0 d=0.104101 t=231
guang1 xian4 yao4 bei4 zhe1 dang3 de5 wei4 zhi4 	光線要被遮擋的位置	c=1 d=0.408608 t=231
guang1 zhou2 	光軸	c=2 d=1.31658 t=231
guang1 zhou2 shi4 ba3 guang1 xian4 zhe1 dang3 zuo4 wei2 chu4 fa1 	光軸是把光線遮擋作爲觸發	c=1 d=0.637628 t=231
guo4 fen4 	過分	c=0 d=0.0423162 t=231
ha1 ha1 	哈哈	c=0 d=0.0436049 t=231
ha1 ha1 a1 	哈哈阿	c=1 d=0.438235 t=231
hai2 neng2 	還能	c=0 d=0.0941765 t=231
hai2 shi4 	還是	c=0 d=0.0666977 t=231
hai2 yao4 	還要	c=0 d=0.199501 t=192
hai2 yao4 xie3 cheng2 shi4 qu4 gai3 	還要寫程式去改	c=1 d=1 t=192
hai4 wo3 	害我	c=0 d=0.1 t=192
hai4 wo3 hai2 yao4 duo1 kai1 	害我還要多開	c=1 d=1 t=193
hao3 	好	c=3 d=2.64365 t=231
